participant,distance_setting,number_of_objects,n_hit,n_fa,n_signal,n_noise,proportion_correct,hit_rate,false_alarm_rate
HT,low,8,23,9,50,50,0.64,0.46153846153846156,0.19230769230769232
HT,low,16,10,2,50,50,0.58,0.21153846153846154,0.057692307692307696
HT,mid,2,42,13,50,50,0.79,0.8269230769230769,0.2692307692307692
HT,mid,3,39,7,50,50,0.82,0.7692307692307693,0.15384615384615385
HT,mid,4,33,9,50,50,0.74,0.6538461538461539,0.19230769230769232
HT,mid,8,24,12,50,50,0.62,0.4807692307692308,0.25
HT,mid,16,20,8,50,50,0.62,0.40384615384615385,0.17307692307692307
JH,high,2,48,7,50,50,0.91,0.9423076923076923,0.15384615384615385
JH,high,3,46,0,50,50,0.96,0.9038461538461539,0.019230769230769232
JH,high,4,47,2,50,50,0.95,0.9230769230769231,0.057692307692307696
JH,high,8,42,3,50,50,0.89,0.8269230769230769,0.07692307692307693
JH,high,16,35,2,50,50,0.83,0.6923076923076923,0.057692307692307696
JH,low,2,40,5,50,50,0.85,0.7884615384615384,0.11538461538461539
JH,low,3,42,9,50,50,0.83,0.8269230769230769,0.19230769230769232
JH,low,4,36,4,50,50,0.82,0.7115384615384616,0.09615384615384616
JH,low,8,23,6,50,50,0.67,0.46153846153846156,0.1346153846153846
JH,low,16,18,9,50,50,0.59,0.36538461538461536,0.19230769230769232
JH,mid,2,47,6,50,50,0.91,0.9230769230769231,0.1346153846153846
JH,mid,3,48,9,50,50,0.89,0.9423076923076923,0.19230769230769232
JH,mid,4,48,6,50,50,0.92,0.9423076923076923,0.1346153846153846
JH,mid,8,39,7,50,50,0.82,0.7692307692307693,0.15384615384615385
JH,mid,16,25,8,50,50,0.67,0.5,0.17307692307692307
JT,high,2,43,10,50,50,0.83,0.8461538461538461,0.21153846153846154
JT,high,3,37,6,50,50,0.81,0.7307692307692307,0.1346153846153846
JT,high,4,34,11,50,50,0.73,0.6730769230769231,0.23076923076923078
JT,high,8,30,14,50,50,0.66,0.5961538461538461,0.28846153846153844
JT,high,16,20,9,50,50,0.61,0.40384615384615385,0.19230769230769232
JT,low,2,12,32,50,50,0.29591836734693877,0.25,0.6346153846153846
JT,low,3,38,18,50,50,0.7,0.75,0.36538461538461536
JT,low,4,26,19,50,50,0.57,0.5192307692307693,0.38461538461538464
