participant,distance_setting,number_of_objects,trial_number,target_present,ran,order,response_yes,yes_no_correct,hit,false_alarm,rt_sec,rt_where_sec,response_where_x,response_where_y,target_pos_x,target_pos_y,click_distance_deg,distance_shapecomp,background_shape_idx,proto_object_idx,date_str
SR,low,3,47,False,1.0,46.0,0.0,1.0,0,0,0.2768991,,,,,,,,2.0,-1.0,2023-06-26_15h38.26.579
SR,low,3,48,False,1.0,47.0,1.0,0.0,0,1,0.6149461,0.59928393,-4.741018074254433,-8.78351624415163,,,,,2.0,-1.0,2023-06-26_15h38.26.579
SR,low,3,49,True,1.0,48.0,0.0,0.0,0,0,0.471318,,,,-4.381094427158183,2.9513629288225007,,0.5002890825271606,0.0,66.0,2023-06-26_15h38.26.579
SR,low,3,50,True,1.0,49.0,0.0,0.0,0,0,0.31169915,,,,10.730945852008634,-2.916003883270022,,0.5170249342918396,0.0,69.0,2023-06-26_15h38.26.579
SR,low,3,51,False,1.0,50.0,0.0,1.0,0,0,0.59177923,,,,,,,,2.0,-1.0,2023-06-26_15h38.26.579
SR,low,3,52,False,1.0,51.0,0.0,1.0,0,0,0.42618918,,,,,,,,2.0,-1.0,2023-06-26_15h38.26.579
SR,low,3,53,False,1.0,52.0,0.0,1.0,0,0,0.35479593,,,,,,,,2.0,-1.0,2023-06-26_15h38.26.579
SR,low,3,54,True,1.0,53.0,1.0,1.0,1,0,0.513417,1.1198561,5.112571214869983,1.605109567459181,8.220183227891553,3.796723800581701,3.8026867,0.5709244012832642,0.0,39.0,2023-06-26_15h38.26.579
SR,low,3,55,True,1.0,54.0,1.0,1.0,1,0,1.0264702,0.38343596,2.5860098586842364,6.004298752347307,5.572172972848286,2.7777185164380547,4.396361,0.7787971496582031,0.0,37.0,2023-06-26_15h38.26.579
SR,low,3,56,False,1.0,55.0,0.0,1.0,0,0,0.38548613,,,,,,,,2.0,-1.0,2023-06-26_15h38.26.579
SR,low,3,57,False,1.0,56.0,0.0,1.0,0,0,0.3082838,,,,,,,,2.0,-1.0,2023-06-26_15h38.26.579
SR,low,3,58,False,1.0,57.0,0.0,1.0,0,0,0.33889103,,,,,,,,2.0,-1.0,2023-06-26_15h38.26.579
SR,low,3,59,True,1.0,58.0,1.0,1.0,1,0,0.99869704,0.28740406,0.2526561356185747,-6.331265516088991,3.46204731203452,-9.90165931505988,4.800823,0.5323181748390198,0.0,31.0,2023-06-26_15h38.26.579
SR,low,3,60,True,1.0,59.0,1.0,1.0,1,0,0.818645,0.36021996,-3.879014788026354,6.762267159203032,-8.408043799881256,-7.105283573064664,14.588388,0.7787971496582031,0.0,37.0,2023-06-26_15h38.26.579
SR,low,3,61,False,1.0,60.0,0.0,1.0,0,0,0.462754,,,,,,,,2.0,-1.0,2023-06-26_15h38.26.579
SR,low,3,62,True,1.0,61.0,1.0,1.0,1,0,0.70888114,0.288229,-7.505373440434134,-1.560523190585315,-5.402995582246275,-2.1270736106952453,2.1773772,0.7787971496582031,0.0,37.0,2023-06-26_15h38.26.579
SR,low,3,63,False,1.0,62.0,0.0,1.0,0,0,0.60443807,,,,,,,,2.0,-1.0,2023-06-26_15h38.26.579
SR,low,3,64,True,1.0,63.0,1.0,1.0,1,0,0.64150596,0.42406893,-5.989436626722685,-7.431062812311023,-5.7676130848595495,-7.987391605624355,0.5989219,0.7141953706741333,0.0,64.0,2023-06-26_15h38.26.579
SR,low,3,65,True,1.0,64.0,1.0,1.0,1,0,0.6019318,0.35154295,-6.123195757344283,-6.331265516088991,-7.293753488353811,-6.903186421408188,1.3028042,0.5149855017662048,0.0,57.0,2023-06-26_15h38.26.579
SR,low,3,66,True,1.0,65.0,1.0,1.0,1,0,0.7952719,0.40736198,-9.957624168496771,2.199594592444063,-6.82366973252083,-4.550408773814634,7.442057,0.5495201945304871,0.0,22.0,2023-06-26_15h38.26.579
SR,low,3,67,True,1.0,66.0,0.0,0.0,0,0,0.54676104,,,,-8.510243050584213,-7.16649978848215,,0.5294628739356995,0.0,4.0,2023-06-26_15h38.26.579
SR,low,3,68,True,1.0,67.0,1.0,1.0,1,0,0.525635,0.255723,-9.719830158502818,2.972425124924409,-6.689676847720921,4.243602536013509,3.2859886,0.7545811533927917,0.0,13.0,2023-06-26_15h38.26.579
SR,low,3,69,False,1.0,68.0,0.0,1.0,0,0,0.38842797,,,,,,,,2.0,-1.0,2023-06-26_15h38.26.579
SR,low,3,70,True,1.0,69.0,1.0,1.0,1,0,0.582778,0.4078691,-5.186881842993094,-7.252717304815558,-6.574859060029276,-6.310572087137495,1.6775334,0.480796605348587,0.0,31.0,2023-06-26_15h38.26.579
SR,low,3,71,True,1.0,70.0,1.0,1.0,1,0,0.5668149,0.5274141,-4.636983194882078,7.535097691683378,-5.131517386388614,9.065936493651856,1.608736,0.5187864303588867,0.0,39.0,2023-06-26_15h38.26.579
SR,low,3,72,False,1.0,71.0,0.0,1.0,0,0,0.33281302,,,,,,,,2.0,-1.0,2023-06-26_15h38.26.579
SR,low,3,73,False,1.0,72.0,0.0,1.0,0,0,0.32697296,,,,,,,,2.0,-1.0,2023-06-26_15h38.26.579
SR,low,3,74,False,1.0,73.0,0.0,1.0,0,0,0.32161617,,,,,,,,2.0,-1.0,2023-06-26_15h38.26.579
SR,low,3,75,False,1.0,74.0,0.0,1.0,0,0,0.25060797,,,,,,,,2.0,-1.0,2023-06-26_15h38.26.579
SR,low,3,76,True,1.0,75.0,0.0,0.0,0,0,0.30523586,,,,7.340431189246594,-0.2497724184257011,,0.5672717690467834,0.0,21.0,2023-06-26_15h38.26.579
SR,low,3,77,False,1.0,76.0,0.0,1.0,0,0,0.28070807,,,,,,,,2.0,-1.0,2023-06-26_15h38.26.579
SR,low,3,78,False,1.0,77.0,0.0,1.0,0,0,0.32368898,,,,,,,,2.0,-1.0,2023-06-26_15h38.26.579
SR,low,3,79,False,1.0,78.0,0.0,1.0,0,0,0.32453895,,,,,,,,2.0,-1.0,2023-06-26_15h38.26.579
SR,low,3,80,False,1.0,79.0,0.0,1.0,0,0,0.22950983,,,,,,,,2.0,-1.0,2023-06-26_15h38.26.579
SR,low,3,81,True,1.0,80.0,1.0,1.0,1,0,0.4494028,0.3677919,-6.494748897959834,-3.596634401158535,-4.521266404335909,-2.579550591556531,2.220156,0.6881098747253418,0.0,54.0,2023-06-26_15h38.26.579
SR,low,3,82,False,1.0,81.0,0.0,1.0,0,0,0.28636003,,,,,,,,2.0,-1.0,2023-06-26_15h38.26.579
SR,low,3,83,True,1.0,82.0,0.0,0.0,0,0,0.2343862,,,,-2.8296534413936185,11.437097889795352,,0.566596508026123,0.0,6.0,2023-06-26_15h38.26.579
SR,low,3,84,False,1.0,83.0,0.0,1.0,0,0,0.5900011,,,,,,,,2.0,-1.0,2023-06-26_15h38.26.579
SR,low,3,85,True,1.0,84.0,1.0,1.0,1,0,0.6153021,0.4158399,1.7834550749546456,-9.927899917247526,-1.6943382104206102,-11.826798545385948,3.9624314,0.8238337635993958,0.0,62.0,2023-06-26_15h38.26.579
SR,low,3,86,False,1.0,85.0,0.0,1.0,0,0,0.61170506,,,,,,,,2.0,-1.0,2023-06-26_15h38.26.579
SR,low,3,87,True,1.0,86.0,0.0,0.0,0,0,0.9296489,,,,-0.600417541120406,-7.517919797846472,,0.7787971496582031,0.0,37.0,2023-06-26_15h38.26.579
SR,low,3,88,False,1.0,87.0,0.0,1.0,0,0,0.3995378,,,,,,,,2.0,-1.0,2023-06-26_15h38.26.579
SR,low,3,89,True,1.0,88.0,0.0,0.0,0,0,1.7323802,,,,4.162955922787457,9.66409685010939,,0.7434694766998291,0.0,68.0,2023-06-26_15h38.26.579
SR,low,3,90,False,1.0,89.0,1.0,0.0,0,1,0.4999888,0.479877,5.781366867977976,8.20389334479137,,,,,2.0,-1.0,2023-06-26_15h38.26.579
SR,low,3,91,True,1.0,90.0,1.0,1.0,1,0,0.44945097,0.391932,1.1592457987205196,10.358901560361566,1.4572951869398103,10.847372352567284,0.5722212,0.4744373261928558,0.0,3.0,2023-06-26_15h38.26.579
SR,low,3,92,False,1.0,91.0,0.0,1.0,0,0,1.586401,,,,,,,,2.0,-1.0,2023-06-26_15h38.26.579
SR,low,3,93,True,1.0,92.0,1.0,1.0,1,0,0.96388507,0.32778502,12.395012770934786,-3.0615978786721416,-5.552444049102046,3.995168337580669,19.284946,0.6395705342292786,0.0,31.0,2023-06-26_15h38.26.579
SR,low,3,94,True,1.0,93.0,1.0,1.0,1,0,0.45681286,0.37594485,-0.8471411606034567,5.112571214869983,-2.2408132672439067,6.268093045910416,1.8104012,0.4744373261928558,0.0,41.0,2023-06-26_15h38.26.579
SR,low,3,95,False,1.0,94.0,1.0,0.0,0,1,0.7121439,0.3275051,-6.747405033578409,8.010685711671282,,,,,2.0,-1.0,2023-06-26_15h38.26.579
SR,low,3,96,True,1.0,95.0,1.0,1.0,1,0,0.52608204,0.327945,-2.199594592444063,-4.324878556765015,-4.184306035345179,-3.99922247051712,2.0112512,0.7141953706741333,0.0,64.0,2023-06-26_15h38.26.579
SR,low,3,97,True,1.0,96.0,1.0,1.0,1,0,0.74477005,0.34381104,6.955474792323118,0.6836577787326141,7.226300377204395,0.0321349067123543,0.7055697,0.6629336476325989,0.0,41.0,2023-06-26_15h38.26.579
SR,low,3,98,True,1.0,97.0,1.0,1.0,1,0,0.70284295,0.34381485,-6.167782134218149,-2.526561356185748,-7.808196065048039,-2.8691076663892043,1.6757971,0.629048764705658,0.0,26.0,2023-06-26_15h38.26.579
SR,low,3,99,True,1.0,98.0,1.0,1.0,1,0,0.759614,0.31972504,10.775041077850982,-2.437388602438016,10.68887257865421,-3.1766815304592946,0.7442977,0.8238337635993958,0.0,62.0,2023-06-26_15h38.26.579
SR,low,3,100,False,1.0,99.0,1.0,0.0,0,1,0.6671901,0.31996298,7.267579430440181,3.552048024284669,,,,,2.0,-1.0,2023-06-26_15h38.26.579
JT,mid,3,1,False,1.0,0.0,1.0,0.0,0,1,1.687124,0.52820206,6.524473149209078,-10.849351705974094,,,,,2.0,-1.0,2023-06-27_11h44.41.678
JT,mid,3,2,True,1.0,1.0,1.0,1.0,1,0,0.5669291,0.83188605,3.165632758044496,-9.318552766638025,3.367092236763369,-9.39917923116598,0.21699435,1.0057801008224487,0.0,32.0,2023-06-27_11h44.41.678
JT,mid,3,3,True,1.0,2.0,0.0,0.0,0,0,0.468215,,,,-1.245750204162275,-12.248462711485352,,0.9727528691291808,0.0,0.0,2023-06-27_11h44.41.678
JT,mid,3,4,False,1.0,3.0,1.0,0.0,0,1,0.38803697,0.38325596,8.114720591043637,2.987287250549031,,,,,2.0,-1.0,2023-06-27_11h44.41.678
JT,mid,3,5,False,1.0,4.0,0.0,1.0,0,0,0.40950704,,,,,,,,2.0,-1.0,2023-06-27_11h44.41.678
JT,mid,3,6,False,1.0,5.0,0.0,1.0,0,0,0.33535695,,,,,,,,2.0,-1.0,2023-06-27_11h44.41.678
