,participant,distance_setting,number_of_objects,target_present,response_yes,yes_no_correct,target_pos_x,response_where_x,target_pos_y,response_where_y,hit,false_alarm,distance,angle,distance_delta
8041,DB,mid,16,False,0.0,1.0,,,,,0,0,,,
8042,DB,mid,16,False,0.0,1.0,,,,,0,0,,,
8043,DB,mid,16,True,0.0,0.0,6.987947363457905,,-6.019321690846402,,0,0,9.22299528203025,-0.7110673332909639,
8044,DB,mid,16,True,0.0,0.0,-8.346738828203485,,-8.700155120121233,,0,0,12.056564526448295,-2.335465454663643,
8045,DB,mid,16,False,0.0,1.0,,,,,0,0,,,
8046,DB,mid,16,True,0.0,0.0,-0.8833784200084741,,7.151788850151196,,0,0,7.206139132023725,1.6936923746764705,
8047,DB,mid,16,True,0.0,0.0,5.60972010441665,,-2.367906941707526,,0,0,6.089001801156166,-0.39941842969385843,
8048,DB,mid,16,False,0.0,1.0,,,,,0,0,,,
8049,DB,mid,16,True,0.0,0.0,3.3993222640789216,,-11.687674297508767,,0,0,12.171981035957527,-1.2877580050492112,
8050,DB,mid,16,True,0.0,0.0,7.30608045690202,,-0.956495561387238,,0,0,7.368425571428344,-0.13017738853871855,
8051,DB,mid,16,True,1.0,1.0,-10.630590145307051,-10.10624542474299,-0.2602548367071403,-1.3524534318406063,1,0,10.63377540751773,-3.1171158506109258,1.2115424702398674
8052,DB,mid,16,False,0.0,1.0,,,,,0,0,,,
8053,DB,mid,16,True,1.0,1.0,-9.511320000517737,-9.823865037875173,3.181379465961877,3.92360116490022,1,0,10.029276317795446,2.818807319613135,0.8053430640116556
8054,DB,mid,16,True,1.0,1.0,-3.618275153455438,4.532948315509724,4.183555263000718,-3.12104638117063,1,0,5.531188816583103,2.2838660749260247,10.945302609843147
8055,DB,mid,16,False,1.0,0.0,,-9.58607102788122,,0.7282441556064803,0,1,,,
8056,DB,mid,16,True,1.0,1.0,-10.816041977222149,8.78351624415163,-2.2184004225948684,-1.0997972962220317,1,0,11.041198507770824,-2.939295411014223,19.63145321740985
8057,DB,mid,16,True,1.0,1.0,-8.60128259133261,-8.218755470415992,-5.166848802247601,-3.968187541774086,1,0,10.03386210595147,-2.6006536213723073,1.258219303458945
8058,DB,mid,16,True,0.0,0.0,7.300826293309697,,-10.433708669984927,,0,0,12.734376355958734,-0.9602485484901974,
8059,DB,mid,16,True,1.0,1.0,7.748402714480805,9.422587646010376,-0.3424743216237561,-1.3227291805913624,1,0,7.755967591909159,-0.04417059593441876,1.9400501987037027
8060,DB,mid,16,True,1.0,1.0,-0.2307992119424454,-0.8322790349788347,8.434547386114222,10.180556052866102,1,0,8.437704538844644,1.5981530565060762,1.8467063225896434
8061,DB,mid,16,False,0.0,1.0,,,,,0,0,,,
8062,DB,mid,16,True,1.0,1.0,-3.2707456316450925,-3.745255657404756,-7.488500669669465,-8.575446485406921,1,0,8.171622804961416,-1.9825931196255493,1.1860063114906265
8063,DB,mid,16,True,1.0,1.0,7.586378192293064,8.233617596040613,-2.3253196591055927,-2.957562999299788,1,0,7.934749245787338,-0.2974207937731628,0.9047930630721015
8064,DB,mid,16,False,0.0,1.0,,,,,0,0,,,
8065,DB,mid,16,False,0.0,1.0,,,,,0,0,,,
8066,DB,mid,16,False,0.0,1.0,,,,,0,0,,,
8067,DB,mid,16,True,0.0,0.0,4.700385414504124,,-10.91169847413632,,0,0,11.881026329208769,-1.1640522345181818,
8068,DB,mid,16,False,0.0,1.0,,,,,0,0,,,
8069,DB,mid,16,True,1.0,1.0,-4.987775692756951,-1.2930049293421182,3.266330861639012,0.5796228993602598,1,0,5.962115703251031,2.561803434967581,4.568340034274712
8070,DB,mid,16,False,1.0,0.0,,4.428913436137369,,-0.9065896631019448,0,1,,,
8071,DB,mid,16,False,0.0,1.0,,,,,0,0,,,
8072,DB,mid,16,False,0.0,1.0,,,,,0,0,,,
8073,DB,mid,16,False,0.0,1.0,,,,,0,0,,,
8074,DB,mid,16,True,0.0,0.0,-9.28656463225414,,-7.666808071755036,,0,0,12.042434499641741,-2.451447210443915,
8075,DB,mid,16,True,0.0,0.0,-4.869377076294427,,-8.576153768684092,,0,0,9.8621116691739,-2.087188405362802,
8076,DB,mid,16,False,0.0,1.0,,,,,0,0,,,
8077,DB,mid,16,False,0.0,1.0,,,,,0,0,,,
8078,DB,mid,16,False,0.0,1.0,,,,,0,0,,,
8079,DB,mid,16,False,0.0,1.0,,,,,0,0,,,
8080,DB,mid,16,True,1.0,1.0,-3.531174392233261,-2.1698703411948186,-3.754993187976237,-2.526561356185748,1,0,5.1545287301665015,-2.3254858311440545,1.8336285023771337
8081,DB,mid,16,False,0.0,1.0,,,,,0,0,,,
8082,DB,mid,16,True,0.0,0.0,-10.394083439181616,,4.254670237034189,,0,0,11.231170436182245,2.753064189127496,
8083,DB,mid,16,False,0.0,1.0,,,,,0,0,,,
8084,DB,mid,16,True,1.0,1.0,-6.326150101088492,3.9384632905248425,-3.823261260472791,-10.195418178490725,1,0,7.391718458337948,-2.5979746888156456,12.081666766929619
8085,DB,mid,16,False,0.0,1.0,,,,,0,0,,,
8086,DB,mid,16,True,0.0,0.0,0.0248804050502505,,-6.371456764175615,,0,0,6.371505342720404,-1.5668913676142344,
8087,DB,mid,16,False,0.0,1.0,,,,,0,0,,,
8088,DB,mid,16,False,0.0,1.0,,,,,0,0,,,
8089,DB,mid,16,False,0.0,1.0,,,,,0,0,,,
8090,DB,mid,16,False,0.0,1.0,,,,,0,0,,,
8091,DB,mid,16,True,0.0,0.0,4.439072008361876,,6.385321885810414,,0,0,7.776740697800808,0.9632995063410347,
8092,DB,mid,16,False,1.0,0.0,,7.609408319806488,,-5.677331988605621,0,1,,,
8093,DB,mid,16,False,1.0,0.0,,10.16569392724148,,3.0170115017982755,0,1,,,
8094,DB,mid,16,True,0.0,0.0,-12.253911247725082,,-3.062423443862528,,0,0,12.630786919928706,-2.8966949741167496,
8095,DB,mid,16,True,0.0,0.0,-12.611961226277296,,-1.3748900297831688,,0,0,12.686681542748643,-3.033006683763089,
8096,DB,mid,16,True,0.0,0.0,-0.8329675359323926,,-7.101015222395915,,0,0,7.149702938207698,-1.6875652997719535,
8097,DB,mid,16,False,1.0,0.0,,8.010685711671282,,-0.7728305324803463,0,1,,,
8098,DB,mid,16,False,0.0,1.0,,,,,0,0,,,
8099,DB,mid,16,True,1.0,1.0,6.350013018611164,6.732542907953787,-1.6275865689676128,-2.095559713071708,1,0,6.555280571876007,-0.2509107898159287,0.6044236757797895
8100,RS,mid,8,False,0.0,1.0,,,,,0,0,,,
8101,RS,mid,8,True,1.0,1.0,-5.049628994181217,-3.819566285527866,-4.239183941006049,-4.696431697380566,1,0,6.593135328852214,-2.4432236832184886,1.3122994238850936
8102,RS,mid,8,False,0.0,1.0,,,,,0,0,,,
8103,RS,mid,8,True,1.0,1.0,-3.09281409315347,-3.210219134918362,4.1956727153295095,4.741018074254433,1,0,5.212405255634794,2.206018561344046,0.5578400347167367
8104,RS,mid,8,True,1.0,1.0,-4.388225533113105,-3.6412207780324017,-7.737307316224563,-8.099858465419015,1,0,8.895079979132731,-2.0867122550930692,0.8303369435930205
8105,RS,mid,8,True,1.0,1.0,1.6010562812841258,2.2590430949425517,5.224000286715212,6.405576144212102,1,0,5.463841159060169,1.273404413928999,1.3524304617864382
8106,RS,mid,8,False,0.0,1.0,,,,,0,0,,,
8107,RS,mid,8,False,0.0,1.0,,,,,0,0,,,
8108,RS,mid,8,True,1.0,1.0,7.786240558155427,8.010685711671282,-8.109227794561942,-6.331265516088991,1,0,11.242113567010453,-0.8057148214895646,1.7920729590643019
8109,RS,mid,8,False,0.0,1.0,,,,,0,0,,,
8110,RS,mid,8,False,1.0,0.0,,7.698581073554219,,-0.8322790349788347,0,1,,,
8111,RS,mid,8,True,1.0,1.0,-7.541301264770255,-6.747405033578409,7.9787621553975745,7.77289170167733,1,0,10.978700756393263,2.3280151535232534,0.820154783937518
8112,RS,mid,8,False,1.0,0.0,,8.738929867277763,,-5.053122712371495,0,1,,,
8113,RS,mid,8,True,1.0,1.0,3.770229319016547,3.41828889366307,4.735490609909983,-7.163544551067827,1,0,6.0530571147576,0.8983985088460278,11.904238733542947
8114,RS,mid,8,True,0.0,0.0,11.137270293212731,,5.079107808679012,,0,0,12.240756746062024,0.42787041052677866,
8115,RS,mid,8,False,1.0,0.0,,11.696492866577552,,4.1168087980203065,0,1,,,
8116,RS,mid,8,True,1.0,1.0,7.6618550430886225,6.658232279830678,-9.373175943260186,-8.694343490403897,1,0,12.106215344384637,-0.8855211763967612,1.2116402725150726
8117,RS,mid,8,False,1.0,0.0,,1.0254866680989212,,-9.883313540373662,0,1,,,
8118,RS,mid,8,True,1.0,1.0,-3.490241151353244,-2.437388602438016,6.5709663448213655,-5.751642616728732,1,0,7.440388565080098,2.059060876256152,12.36750541172439
8119,RS,mid,8,False,1.0,0.0,,-7.817478078551195,,5.380089476113181,0,1,,,
8120,RS,mid,8,True,1.0,1.0,4.458663589660342,4.607258943632834,-7.214267248695032,-7.713443199178841,1,0,8.48088043432736,-1.017221844923202,0.5208235869885545
8121,RS,mid,8,False,0.0,1.0,,,,,0,0,,,
8122,RS,mid,8,True,1.0,1.0,0.9890161406190734,0.341828889366307,4.961227275189193,5.023398461122252,1,0,5.058846607922228,1.3740267205994716,0.6501665898401995
8123,RS,mid,8,True,0.0,0.0,-5.467482840371714,,-9.945882360813313,,0,0,11.349623101446873,-2.073427041893565,
8124,RS,mid,8,False,0.0,1.0,,,,,0,0,,,
8125,RS,mid,8,True,0.0,0.0,1.5398050874825435,,-4.767258022030608,,0,0,5.009765339419832,-1.2583780786130563,
8126,RS,mid,8,False,0.0,1.0,,,,,0,0,,,
8127,RS,mid,8,True,0.0,0.0,9.552517950675124,,2.8939737815340494,,0,0,9.981266625342545,0.29416470278046464,
8128,RS,mid,8,True,1.0,1.0,11.611648493019548,11.696492866577552,3.6019543166768635,4.235705803017283,1,0,12.157485579875067,0.3007897710002611,0.6394055944102627
8129,RS,mid,8,False,0.0,1.0,,,,,0,0,,,
8130,RS,mid,8,False,0.0,1.0,,,,,0,0,,,
8131,RS,mid,8,True,0.0,0.0,0.8130643859660569,,11.355203060344971,,0,0,11.384274690879264,1.4993155154148883,
8132,RS,mid,8,True,0.0,0.0,-6.689348966816215,,9.459334171096415,,0,0,11.585611445250418,2.1863175895950016,
8133,RS,mid,8,True,0.0,0.0,7.578867178915704,,0.9001549839355901,,0,0,7.6321364447151865,0.11821789293504989,
8134,RS,mid,8,True,1.0,1.0,-3.7344886954838055,-4.250567928641906,11.068504652784789,9.407725520385757,1,0,11.68153247932029,1.896200395633182,1.7391161840167937
8135,RS,mid,8,True,0.0,0.0,4.198241531780119,,-6.484337376765078,,0,0,7.7247565123359125,-0.9962204544597075,
8136,RS,mid,8,False,0.0,1.0,,,,,0,0,,,
8137,RS,mid,8,False,0.0,1.0,,,,,0,0,,,
8138,RS,mid,8,False,0.0,1.0,,,,,0,0,,,
8139,RS,mid,8,True,1.0,1.0,11.876786224936604,11.741079243451416,3.839808649568648,4.131670923644929,1,0,12.48207440685025,0.3126968681262585,0.32186949506406987
8140,RS,mid,8,False,0.0,1.0,,,,,0,0,,,
8141,RS,mid,8,False,1.0,0.0,,5.855677496101086,,4.889639330500653,0,1,,,
8142,RS,mid,8,False,0.0,1.0,,,,,0,0,,,
8143,RS,mid,8,True,1.0,1.0,-1.9008238795865176,-1.6942823212069134,-5.903221741100064,-5.45440010423629,1,0,6.201706083474354,-1.882310364943158,0.49406505346457436
8144,RS,mid,8,True,0.0,0.0,-12.531314205553077,,0.3639403933888788,,0,0,12.536597956712036,3.1125583387955538,
8145,RS,mid,8,True,1.0,1.0,-4.90115288477056,-3.8492905367771098,-4.4885806899938805,-3.760117783029378,1,0,6.645950361722597,-2.400104894466048,1.279481381634554
8146,RS,mid,8,True,0.0,0.0,-2.1473678946911985,,-7.202172028967538,,0,0,7.515482074357765,-1.8605601498325168,
